Title,count
"Ligne C : Vers Château - Javel 07/06, 17/06 -27/06",8
🚧 5102 - Travaux : Ida Nudel non desservi,1
Déviation Ligne 602 direction Corot,1
Tramway T3A : Jeux de Paris 2024 - Arrêt non desservi,2
Travaux quai de la croix Blanche,1
Travaux Gare de Massy,1
RER D : Combs la Ville - Melun interrompu WE juin,8
Information voyageurs,1
Bus 163 : Travaux - Arrêt(s) non desservi(s),2
COULOMMIERS Av Jehan de Brie,1
Sully - Morland : Jeux de Paris 2024 - Station fermée (sans correspondances),1
Ligne P : Paris Est - Meaux du 6/05 au 14/06,30
"\"9106 et 9108 - Arrêt \"\"Hôpital d'Orsay\"\" reporté du 17/04 au 02/06/24 (FI_2024_041)\"",1
Bus 85 : Travaux - Arrêt(s) non desservi(s),2
Bus 38 : Manifestation - Arrêt(s) non desservi(s),2
Travaux Saint-Rémy-l'Honoré - Ligne 49,1
Ligne E : Villiers - Haussmann les 1 et 2/06,2
Bus 160 : Travaux - Arrêt(s) non desservi(s),2
Bus NAVETTE : Manifestation - Arrêt(s) non desservi(s),2
MLV-L32 modification horaire du 06-11 au 05-07-24,1
Ligne E : Haussmann St-L. - Villiers-sur-M. 21/06,1
Ligne N : Versailles Ch. - Mantes du 3 au 7/06/24,4
Ligne E : Haussmann - Chelles-Gournay 13 - 14/07,4
SUCY-EN-BRIE - Travaux Rue du Temple,1
Bus TIM : Travaux - Arrêt(s) non desservi(s),1
Bus 114 : Travaux - Arrêt(s) non desservi(s),2
Bus 286 : Travaux - Arrêt(s) non desservi(s),3
⚠️Déviation - Ligne 39 - Du 06 Novembre 2023 au 06 Juillet 2024,1
Ligne 31B - Travaux Pont de Pommeuse,1
Ligne N: Paris Montp. - Mantes-la-J. du 1 au 05/07,4
⚠️🚍#InfoTrafic - Ligne 34A - Du 03 juin 2024 au 30 mai 2025,1
Bus 206 : Travaux - Arrêt(s) non desservi(s),10
⚠️Prolongation -Ligne 8 - Du mercredi 16 Février 2022 au Mardi 9 Juillet 2024 entre 07h00 et 10h00,140
