Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags,LastUpdate
9e9deea2-14fa-11ef-bc03-0a58a9feac02,2024-04-18T08:00:00.000+02:00,2024-07-01T17:15:00.000+02:00,20240518T114010,TRAVAUX,BLOQUANTE,Bus 201 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 201 est déviée : les arrêts situés entre Verdun et Verdun - Charles Floquet ne sont plus desservis en direction de Champigny – Diderot – La Plage. Reprise estimée : lundi 1 juillet 2024, à partir de 16h30. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-18T11:40:10.000+02:00
ce3137a0-1540-11ef-98ab-0a58a9feac02,2024-05-18T20:00:00.000+02:00,2024-06-22T03:45:00.000+02:00,20240518T200235,TRAVAUX,BLOQUANTE,Bus 366 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt 8 mai 1945 de la ligne 366 n'est pas desservi en direction de Asnières Bords de Seine. Reprise estimée : samedi 22 juin 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-18T20:02:35.000+02:00
8cbfc8fc-1646-11ef-8504-0a58a9feac02,2024-04-17T22:45:00.000+02:00,2024-06-29T06:45:00.000+02:00,20240520T031613,TRAVAUX,BLOQUANTE,Bus N31 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne N31 est déviée : les arrêts situés entre La Belle Épine et Belle Épine Sud ne sont plus desservis en direction de Aéroport d'Orly – Terminal Sud. Reprise estimée : samedi 29 juin 2024, à partir de 06h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-20T03:16:13.000+02:00
66c83b86-1798-11ef-8504-0a58a9feac02,2024-05-21T07:08:00.000+02:00,2024-06-29T03:45:00.000+02:00,20240521T193439,TRAVAUX,BLOQUANTE,Bus 367 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 367 est déviée : les arrêts situés entre François Hanriot et Les Pâquerettes ne sont plus desservis en direction de Pont de Bezons. Reprise estimée : samedi 29 juin 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-21T19:34:39.000+02:00
a6a49926-17b0-11ef-96a1-0a58a9feac02,2024-05-21T22:00:00.000+02:00,2024-05-22T05:15:00.000+02:00,20240527T184842,TRAVAUX,BLOQUANTE,Métro 14 : Travaux - Trafic interrompu,"\"<p>Jusqu'au jeudi 27 juin, du lundi au jeudi à partir de 22h, le trafic est interrompu sur l'ensemble de la ligne en raison de travaux.&nbsp;<br>Bus de remplacement.<br><a href=\"\"http://www.ratp.fr\"\">Plus d'informations sur le site ratp.fr</a></p>\"",Actualité,2024-05-27T18:48:42.000+02:00
a6a49926-17b0-11ef-96a1-0a58a9feac02,2024-05-22T22:00:00.000+02:00,2024-05-23T05:15:00.000+02:00,20240527T184842,TRAVAUX,BLOQUANTE,Métro 14 : Travaux - Trafic interrompu,"\"<p>Jusqu'au jeudi 27 juin, du lundi au jeudi à partir de 22h, le trafic est interrompu sur l'ensemble de la ligne en raison de travaux.&nbsp;<br>Bus de remplacement.<br><a href=\"\"http://www.ratp.fr\"\">Plus d'informations sur le site ratp.fr</a></p>\"",Actualité,2024-05-27T18:48:42.000+02:00
a6a49926-17b0-11ef-96a1-0a58a9feac02,2024-05-23T22:00:00.000+02:00,2024-05-24T05:15:00.000+02:00,20240527T184842,TRAVAUX,BLOQUANTE,Métro 14 : Travaux - Trafic interrompu,"\"<p>Jusqu'au jeudi 27 juin, du lundi au jeudi à partir de 22h, le trafic est interrompu sur l'ensemble de la ligne en raison de travaux.&nbsp;<br>Bus de remplacement.<br><a href=\"\"http://www.ratp.fr\"\">Plus d'informations sur le site ratp.fr</a></p>\"",Actualité,2024-05-27T18:48:42.000+02:00
28badce0-17d9-11ef-96a1-0a58a9feac02,2024-04-22T22:00:00.000+02:00,2026-01-01T06:45:00.000+01:00,20240522T031813,TRAVAUX,BLOQUANTE,Bus N53 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Esplanade Charles de Gaulle de la ligne N53 n'est pas desservi en direction de Gare St-Lazare. Reprise estimée : jeudi 1 janvier 2026, à partir de 06h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-22T03:18:13.000+02:00
2f96ae2c-183d-11ef-8504-0a58a9feac02,2024-05-22T15:12:00.000+02:00,2024-06-11T05:15:00.000+02:00,20240522T151414,TRAVAUX,BLOQUANTE,Métro 11 : Travaux de modernisation - Arrêt non desservi,<p>Jusqu'au 10 juin l'arrêt n'est pas desservi à Porte des Lilas en direction de Mairie des Lilas en raison de travaux de modernisation<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,Actualité,2024-05-22T15:14:14.000+02:00
f25a1dda-1843-11ef-8504-0a58a9feac02,2024-05-22T16:00:00.000+02:00,2024-07-01T03:45:00.000+02:00,20240522T160238,TRAVAUX,BLOQUANTE,Bus 195 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 195 est déviée : les arrêts situés entre Division Leclerc et Moulin de la Tour ne sont plus desservis en direction de Chatenay Malabry – Lycée Polyvalent. Reprise estimée : lundi 1 juillet 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-22T16:02:38.000+02:00
16530a1e-188d-11ef-8504-0a58a9feac02,2024-05-01T22:57:00.000+02:00,2024-08-01T07:45:00.000+02:00,20240523T004611,TRAVAUX,BLOQUANTE,Bus N42 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne N42 est déviée : les arrêts situés entre Ancienne Mairie et Libération ne sont plus desservis en direction de Aulnay-sous-Bois – Garonor. Reprise estimée : jeudi 1 août 2024, à partir de 07h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-23T00:46:11.000+02:00
ed04d0ae-18c6-11ef-8504-0a58a9feac02,2024-05-06T18:34:00.000+02:00,2024-07-06T03:45:00.000+02:00,20240523T074013,TRAVAUX,BLOQUANTE,Bus 389 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Centre Millandy de la ligne 389 n'est pas desservi en direction de Hôtel de Ville de Boulogne-Billancourt. Reprise estimée : samedi 6 juillet 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-23T07:40:13.000+02:00
