Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
7e267afa-fc03-11ee-9935-0a58a9feac02,20240520T063000,20240520T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240521T063000,20240521T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240522T063000,20240522T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240523T063000,20240523T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240524T063000,20240524T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240527T063000,20240527T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240528T063000,20240528T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240529T063000,20240529T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240530T063000,20240530T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
7e267afa-fc03-11ee-9935-0a58a9feac02,20240531T063000,20240531T074000,20240416T171042,TRAVAUX,PERTURBEE,Ligne J : Les Mureaux - Paris du 15/04 au 12/07,"<p>Dates : du lundi 15 avril au vendredi 12 juillet, sauf les samedis, dimanches et jours f&#233;ri&#233;s.<br></p><p>En semaine du 15 avril au 12 juillet le train de 06H47 au d&#233;part des Mureaux vers Paris-Saint Lazare est supprim&#233;.</p><p>Le train de 06h36 au d&#233;part de Mantes la Jolie vers Paris Saint-Lazare marquera des arr&#234;ts suppl&#233;mentaires dans les gares suivantes : Les Clairi&#232;res de Verneuil et Villennes sur Seine.</p><p>Ce train ne desservira pas la gare de Poissy. <br></p><p>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>",Actualité
